,D,m3C,Um,s2C,s2U,ho5U,m5D,I,f5C,m4Cm,f5U,m5Um,hm5C,m5s2U,mo5U,Qbase,m1A,m1I,ac4C,m42Cm,f5Um,mnm5U,f5s2U,nm5s2U,m6Am,m1Im,m1G,ac4Cm,ncm5U,cm5U,mnm5s2U,preQ0,m1Gm,ncm5Um,mcm5U,cmo5U,imG-14,G+,m22Gm,mcm5s2U,mcmo5U,i6A,nm5se2U,acp3U,cmnm5s2U,mnm5se2U,io6A,acp3Um,g6A,k2C,ms2i6A,ms2io6A,Q,t6A,m6t6A,yW-58,ms2t6A,ms2hn6A,Ar(p),Gr(p),yW,galQ
HeLa (R8),0.2179,0.5295,0.3627,,,,,0.0183,0.008,,,0.0123,,,,,0.5042,,0.5641,,,,,,0.0201,,0.6405,0.0031,0.0031,,,,0.0579,,,,,,0.0003,,,,,0.0269,,,,0.0077,,0.0012,,,,0.0293,,,,,,,,
HeLa (R9),0.2156,0.5464,0.3428,,,,,0.0186,,,,0.0092,,,,,0.4908,,0.5539,,,,,,0.0165,,0.6362,0.0038,0.003,,,,0.054,,,,,,,,,,,0.0217,,,,0.0049,,,,,,0.0261,,,,,,,,
HeLa (R10),0.2254,0.529,0.3691,,,,,0.0168,0.0119,,,0.0122,,,,0.0004,0.5125,,0.5619,,,,,,0.0191,,0.6455,0.003,,,,,0.0626,,,,,,,,,,,0.026,,,,0.0057,,0.0027,,,,0.0294,,,,,,,,
HeLa (R11),0.2165,0.5484,0.3503,,,0.0238,,0.0196,,,,0.0079,0.0003,,,,0.5125,,0.5573,,,,,,0.0181,,0.6531,0.0027,0.0076,,,,0.0542,,,0.0389,,,0.0005,,,,,0.0204,,,,0.0037,0.0057,0.0292,,,,,,,,,,,,
HeLa (R12),0.2175,0.5296,0.365,,,,,0.0192,0.003,,,0.0135,,,,0.0003,0.5034,,0.5686,,,,,,0.0206,,0.656,0.0045,0.006,,,,0.0579,,,,,,0.0005,,,,,0.0284,,,,0.009,,0.0009,,,,0.0321,,,,,,,,0.0005
HeLa (R13),0.2229,0.5438,0.3657,,,,,0.019,0.001,,,0.0138,,,,,0.5082,,0.5718,,,,,,0.0211,,0.6746,0.0055,0.0054,,,,0.0611,,,,,,0.0009,,,,,0.029,,,,0.0098,,,,,,0.0331,,,,,,,,
HeLa (R14),0.2083,0.4767,0.2914,,,0.0023,0.0046,0.0025,,,,,,,,,0.4377,,0.5074,,,,,,0.002,,0.5553,,,,,,0.027,,,,,,,,,,,0.0017,,,,,,,,,,,,,,,,,,
HeLa (R15),0.2173,0.5343,0.3437,,0.0043,,0.0277,0.0184,,,0.0004,,,,,,0.5083,,0.5521,,,,0.0005,,0.0164,,0.6313,0.0025,,,,,0.0581,,,,,,0.0002,,,,,0.0218,,,,0.0038,,,,,,0.025,,,,,,,,
HeLa (R16),0.2049,0.5089,0.3227,,0.0086,,0.3153,0.0075,,,,,,,0.0421,,0.4863,,0.544,,,,,0.1844,0.0079,0.029,0.6166,0.0011,,,,,0.0505,,,,,,,,,,,0.011,,,,0.0015,,,,,,0.0128,,,,,,,,
HeLa (R17),0.2184,0.5239,0.3336,,0.0039,,0.0311,0.0102,,,,,,0.0012,,,0.5006,0.0935,0.5541,,,,,0.043,0.0084,0.0012,0.6279,0.0011,,,,,0.0763,,,,,,,,,,,0.0135,,,,0.0012,,,,,,0.0165,,,,,,,,
HeLa (R18),0.2165,0.5188,0.3422,,0.0057,,0.0354,0.0154,,,,,0.0003,,,,0.5017,,0.5507,,,,,,0.0121,,0.6124,0.0012,,,,,0.0528,,,,,,,,,,,0.0185,,,,0.0022,,,,,,0.0225,,,,,,,,
HeLa (R19),0.2172,0.5188,0.3437,,,,0.065,0.0138,,,,,,,,,0.4969,,0.5447,,,,,0.081,0.013,0.0081,0.6198,0.0012,,,,,0.0614,,,,,,,,,,,0.0183,,,,0.0018,,,,,,0.0204,,,,,,,,
HeLa (R20),0.2036,0.5335,0.3423,,,,0.0924,0.0189,,,,,,,0.0317,,0.5162,,0.5528,,,,0.0007,0.0672,0.0163,0.0145,0.6345,0.0038,,,,,0.062,,,,,,,,,,,0.0205,,,,0.0057,,,,,,0.024,,0.0003,,,,,,
HeLa (R22),0.2161,0.5,0.3098,,,,0.3759,0.0106,,,,,,,0.1248,,0.4791,,0.5536,,,,,0.1626,0.0054,0.015,0.6131,0.001,,,,,0.0551,,,,,,,,,,,0.0101,,,,,,,,,,0.0121,0.0246,,,,,,,
HeLa (R23),0.2113,0.5134,0.3229,,,,0.4006,0.0138,,,,,,,0.1149,,0.4901,,0.5573,,,,,0.1922,0.012,0.0238,0.6182,0.0016,,,,,0.0624,,,,,,,,,,,0.0172,,,,0.0028,,,,,,0.0208,,,,,,,,
HeLa (R24),0.2088,0.4985,0.3123,,,,0.13,0.0079,,,,,,,0.0233,,0.4796,,0.5451,,,,,0.0818,0.0069,0.003,0.5941,,,,,,0.0538,,,,,,,,,,,0.009,,,,0.0014,,,,,,0.0096,,,,,,,,
HeLa (R25),0.2057,0.522,0.3173,,,,0.0911,0.0108,,,0.0011,,,,,,0.4859,,0.553,,,,,0.0467,0.0084,0.0029,0.6188,,0.001,,,,0.0533,,,,,,,,,,,0.0119,,,,0.0017,,,,,,0.0137,,,,,,,,
S. typhimurium (R1),1.9147,0.0726,1.117,0.0357,0.1305,,,0.0413,,,,,,,,,0.2638,0.0919,0.5102,,,0.0019,,,,0.0495,0.9147,,,,0.0537,,,,,0.1643,,,,,,,,0.187,,,,,,,,0.07,0.1139,0.0689,0.0041,,,,,,,
S. typhimurium (R2),1.8277,0.0705,1.0458,0.0416,0.2528,,,0.0384,,,,,,,,,0.2654,0.0802,0.5014,,,,,,,,0.8895,0.0016,,,0.0661,,,,,0.1541,,,,,,,,0.1852,,,,,,,0.0059,0.0734,0.128,0.0718,0.006,,,,,,,
S. typhimurium (R3),1.8346,0.0742,1.0702,0.0375,0.0673,,,0.0442,,,,,,,,,0.2672,,0.5252,,,0.0028,,,,,0.9393,0.0032,,,0.052,,,,,0.1526,,,,,,,,0.1878,,,,,,,0.0075,0.0708,0.1398,0.0736,0.0146,,,,,,,
S. typhimurium (R4),1.8105,0.0705,1.0122,0.0294,0.1761,,,0.0305,,,,,,,,,0.2615,,0.4744,,,,,,,,0.8631,,,,0.059,,,,,0.1387,,,,,,,,0.1746,,,,,,,0.0074,0.0628,0.1218,0.0529,0.0031,,,,,,,
S. typhimurium (R5),1.8176,0.0724,1.0321,0.0361,0.2996,,,0.0371,,,,,,,,,0.2689,0.0818,0.5041,,,,,,,,0.8778,0.0013,,,0.0615,,,,,0.1493,,,,,,,,0.1739,,,,,,,0.0089,0.0724,0.1247,0.0555,,,,,,,,
